UniqueId,Region,OrderDate,InvoiceDate,DueDate,Amount,Disputed,InvoiceType,Delay
5133177585,North America,2011-11-06,2012-01-03,2012-02-06,55.37,No,Paper,True
280670965,South America,2011-11-17,2012-01-03,2012-02-15,50.39,No,Paper,False
6393629835,Europe,2011-11-28,2012-01-03,2012-02-15,71.33,No,Paper,False
5928070131,Africa&Asia,2011-11-01,2012-01-03,2012-01-22,97.6,No,Paper,True
6050714721,Africa&Asia,2011-11-08,2012-01-03,2012-02-15,15.99,Yes,Paper,True
2923296215,Europe,2011-11-09,2012-01-04,2012-02-16,67.71,No,Paper,False
8483378519,Europe,2011-11-12,2012-01-04,2012-02-16,75.21,No,Paper,False
4566394525,South America,2011-11-05,2012-01-04,2012-02-16,55.91,No,Paper,True
915652542,North America,2011-11-22,2012-01-05,2012-02-13,78.29,Yes,Paper,True
2947790220,Central America,2011-12-01,2012-01-05,2012-02-17,32.28,No,Paper,False
8081319512,North America,2011-11-23,2012-01-06,2012-02-18,78.05,No,Paper,False
9611156539,Africa&Asia,2011-11-27,2012-01-06,2012-02-18,70.34,No,Paper,True
2195380883,Africa&Asia,2011-11-22,2012-01-06,2012-02-18,47.07,Yes,Paper,False
1789438475,Central America,2011-10-31,2012-01-07,2012-02-16,46.33,Yes,Paper,True
4915855065,South America,2011-12-19,2012-01-07,2012-02-19,78.92,No,Paper,False
6805978922,Europe,2011-12-02,2012-01-08,2012-02-13,63.92,No,Paper,True
3314980148,South America,2011-12-01,2012-01-08,2012-02-20,28.84,No,Paper,False
8057232722,South America,2011-12-07,2012-01-09,2012-02-21,83.12,No,Paper,False
7839294116,South America,2011-11-22,2012-01-09,2012-02-07,40.22,No,Paper,True
8701747713,Europe,2011-10-19,2012-01-09,2012-02-18,100.32,No,Paper,True
7097948653,North America,2011-11-19,2012-01-09,2012-02-21,56.86,No,Paper,False
1633220775,North America,2011-11-14,2012-01-09,2012-02-21,41.99,No,Paper,False
5844695758,Europe,2011-11-03,2012-01-10,2012-02-21,71.66,No,Paper,True
5215762025,Central America,2011-11-10,2012-01-10,2012-02-22,47.75,No,Paper,False
4978138927,Africa&Asia,2011-11-03,2012-01-10,2012-02-13,7.45,No,Paper,True
3714896459,Europe,2011-11-10,2012-01-11,2012-02-23,84.42,No,Paper,False
4336863090,North America,1011-12-10,2012-01-11,2012-02-23,73.06,Yes,Paper,False
8528877072,Central America,2011-12-08,2012-01-12,2012-02-20,64.19,No,Paper,True
6482427308,Europe,2011-11-01,2012-01-13,2012-01-25,80.99,Yes,Paper,True
1929017575,Africa&Asia,2011-12-14,2012-01-13,2012-02-25,87.89,No,Paper,False
104628267,North America,2012-01-05,2012-01-13,2012-02-25,72.72,No,Paper,False
9779194561,South America,2011-12-07,2012-01-13,2012-02-08,78.49,No,Paper,True
204757285,Europe,2011-11-13,2012-01-13,2012-02-25,54.44,No,Paper,False
8009169493,Central America,2011-11-29,2012-01-14,2012-02-26,65.9,No,Paper,False
1228800351,South America,2011-11-02,2012-01-14,2012-02-15,47.48,No,Paper,True
4730761138,South America,2011-11-11,2012-01-14,2012-02-26,45.41,No,Paper,False
1297791719,,2011-11-14,2012-01-15,2012-02-27,48.64,Yes,Paper,True
3961690887,South America,2011-12-01,2012-01-15,2012-02-27,46.28,No,Paper,False
9938923133,Central America,2011-11-22,2012-01-15,2012-02-25,48.06,No,Paper,True
3267864290,Europe,2011-11-28,2012-01-15,2012-02-15,57.55,No,Paper,True
6895927608,North America,2011-12-10,2012-01-16,2012-02-28,78.37,No,Paper,False
7867318195,Africa&Asia,2011-12-08,2012-01-16,2012-02-28,74.01,No,Paper,False
8765324049,South America,2011-11-10,2012-01-16,2012-02-28,62.84,No,Paper,False
9010843366,North America,2011-12-26,2012-01-16,2012-02-28,49.25,No,Paper,False
2794370654,Europe,2011-11-14,2012-01-16,2012-02-24,87.78,No,Paper,True
3102041998,North America,2011-11-15,2012-01-17,2012-02-29,69.99,No,Paper,False
9236280634,North America,2011-11-27,2012-01-17,2012-02-13,67.15,No,Paper,True
8493182849,Central America,2011-11-04,2012-01-18,2012-01-23,18.03,No,Paper,True
8568370573,South America,2011-10-08,2012-01-18,2012-02-12,56.55,Yes,Paper,True
8731613770,North America,2011-12-10,2012-01-18,2012-03-01,77.44,No,Paper,False
5570997637,Europe,2011-12-11,2012-01-19,2012-02-13,43.77,No,Paper,True
3205321485,Africa&Asia,2011-11-16,2012-01-20,2012-03-03,60.52,No,Paper,False
4732348996,North America,2011-12-01,2012-01-20,2012-03-03,78.09,No,Paper,False
1920990033,Europe,2011-12-01,2012-01-20,2012-03-03,56.51,Yes,Paper,False
8391971820,Europe,2011-12-13,2012-01-20,2012-02-26,70.91,No,Paper,True
5916379112,North America,2011-12-05,2012-01-21,2012-03-04,81.9,No,Paper,False
5831823402,South America,2011-12-13,2012-01-21,2012-03-04,32.78,No,Paper,False
8738019739,North America,2011-12-05,2012-01-21,2012-03-04,92.19,No,Paper,False
7867299622,Europe,2011-11-14,2012-01-21,2012-03-04,72.06,No,Paper,False
287254498,Europe,2011-12-28,2012-01-22,2012-03-05,72.49,No,Paper,False
5307752603,South America,2011-11-03,2012-01-23,2012-02-26,87.1,No,Paper,True
9676303588,Europe,2012-01-08,2012-01-23,2012-03-06,78.33,No,Paper,True
4984149604,Africa&Asia,2011-10-24,2012-01-24,2012-02-07,49.62,Yes,Paper,True
4847248435,North America,2011-11-28,2012-01-24,2012-03-07,80.71,No,Paper,False
81932735,North America,2011-11-14,2012-01-24,2012-03-03,72.7,No,Paper,True
6922423741,,2011-12-10,2012-01-25,2012-02-17,66.92,Yes,Paper,True
2110258079,Europe,2011-11-30,2012-01-25,2012-03-01,22.09,,Paper,True
1901766579,Central America,2011-12-03,2012-01-25,2012-03-08,7.55,Yes,Paper,False
9247964767,Europe,2011-11-08,2012-01-26,2012-02-15,98.51,Yes,Paper,True
8645315959,North America,2011-11-28,2012-01-26,2012-03-09,47.02,No,Paper,False
5600941018,North America,2011-12-20,2012-01-27,2012-02-28,53.73,No,Paper,True
18104516,Africa&Asia,2011-12-02,2012-01-27,2012-03-10,94.0,Yes,Paper,False
8615012107,Europe,2011-11-25,2012-01-27,2012-03-10,53.81,No,Paper,False
1148330280,North America,2011-11-25,2012-01-27,2012-03-06,58.71,Yes,Paper,True
986187012,Africa&Asia,2011-12-19,2012-01-27,2012-02-21,86.92,,Paper,True
5865665884,South America,2011-11-22,2012-01-28,2012-03-11,64.89,No,Paper,False
7298116315,South America,2011-11-19,2012-01-28,2012-03-11,60.17,No,Paper,False
2824604487,North America,2012-01-05,2012-01-28,2012-03-11,74.25,No,Paper,False
8273477766,North America,2011-12-29,2012-01-29,2012-03-12,51.13,No,Paper,False
9482778673,Europe,2011-11-19,2012-01-29,2012-02-29,96.02,No,Paper,True
1657046645,South America,2011-11-16,2012-01-29,2012-02-26,27.63,No,Paper,True
8146803755,Central America,2011-11-19,2012-01-29,2012-03-04,49.83,No,Paper,True
7948353278,Africa&Asia,2011-12-17,2012-01-29,2012-02-26,59.08,Yes,Paper,True
5519301828,South America,2011-12-04,2012-01-30,2012-03-05,59.34,Yes,Paper,True
5267406931,Europe,2011-11-28,2012-01-30,2012-03-04,85.22,Yes,Paper,True
6224002160,Africa&Asia,2011-12-06,2012-01-30,2012-03-13,72.1,No,Paper,False
360452276,North America,2011-12-20,2012-01-30,2012-03-13,56.37,No,Paper,False
8166776603,Europe,2012-01-07,2012-01-31,2012-03-14,81.13,No,Paper,False
7303916505,North America,2011-11-24,2012-01-31,2012-03-14,69.55,No,Paper,False
5231639672,Central America,2012-01-01,2012-01-31,2012-03-14,73.32,No,Paper,False
1321403149,North America,2011-12-22,2012-02-01,2012-03-08,80.31,No,Paper,True
7885181731,Europe,2011-12-13,2012-02-01,2012-02-28,87.13,No,Paper,True
5213055907,North America,2011-12-26,2012-02-01,2012-03-01,56.2,Yes,Paper,True
6610467625,North America,2011-12-19,2012-02-01,2012-03-15,84.13,No,Paper,False
9769799106,Central America,2011-11-29,2012-02-01,2012-03-05,20.47,No,Paper,True
6864971541,Europe,2011-12-21,2012-02-02,2012-03-16,73.82,Yes,Paper,False
6791929008,South America,2011-12-06,2012-02-02,2012-03-08,44.92,No,Paper,True
5211032490,Africa&Asia,2011-12-09,2012-02-02,2012-03-16,70.47,No,Paper,False
5120935092,North America,2011-12-27,2012-02-03,2012-03-17,83.15,No,Electronic,False
7237340902,North America,2011-12-25,2012-02-03,2012-03-14,68.48,No,Paper,True
6659854030,Africa&Asia,2011-11-05,2012-02-04,2012-03-15,75.04,No,Paper,True
2506087360,Africa&Asia,2011-12-10,2012-02-04,2012-03-18,69.78,No,Paper,False
8412636726,Central America,2011-12-07,2012-02-04,2012-03-18,43.29,No,Paper,False
